look_back,lstm_units_1,lstm_units_2,dropout,learning_rate,batch_size,rmse,mae,mape,epochs_run,train_time_s
12,64,32,0.3,0.0005,32,0.02536288473660182,0.024188009651014128,2.0024640341954183,41,12.0
12,32,32,0.3,0.001,8,0.025404831552458297,0.025151302435751057,2.064967611382307,62,25.2
18,64,64,0.1,0.0005,16,0.025490066046727225,0.023161424146272418,1.908316099597776,66,21.6
12,32,64,0.2,0.001,32,0.02549454380013905,0.024162554590511413,2.0014370679821543,29,9.6
12,32,64,0.1,0.001,32,0.02554668650229464,0.02475357077449636,2.0468103552351415,27,9.8
24,128,16,0.3,0.0005,8,0.025553521601872957,0.024756708157681426,2.049081439477815,34,21.4
12,64,16,0.2,0.0005,8,0.02558110771663565,0.02545192441512104,2.0977049669397054,55,18.4
12,32,32,0.1,0.001,8,0.025607009864701324,0.025398457645515564,2.0906206643389114,38,14.6
6,64,16,0.3,0.001,8,0.025654830620355548,0.024927236147161667,2.0423655818946833,36,14.4
12,128,32,0.2,0.0005,16,0.02580878068588552,0.0241456925132997,2.002192039149508,40,13.1
18,64,64,0.1,0.001,32,0.02582493685180333,0.02348785644138874,1.9513126722513707,26,10.0
24,32,64,0.1,0.001,8,0.02585125381781165,0.024692745436699613,2.0445656222375854,51,25.5
24,128,32,0.1,0.001,8,0.025854067578836314,0.024776580847967616,2.050835249831601,15,12.4
6,128,16,0.3,0.001,32,0.025899713256131843,0.025611475340588965,2.1040619516791876,42,12.0
6,32,16,0.2,0.001,32,0.02590557922199718,0.025291912679120548,2.0751171006781677,61,21.3
18,128,16,0.2,0.001,8,0.02609701425969412,0.02574460661957269,2.124872381097788,15,14.2
24,64,64,0.3,0.001,16,0.02612229594306779,0.02184356245811952,1.8232870152860952,26,14.5
6,32,64,0.3,0.001,32,0.026317033763701883,0.02171570380560552,1.762957176203513,47,14.0
12,128,32,0.2,0.0005,32,0.026365703865483238,0.025064921471218637,2.0759673957778597,40,13.1
24,64,64,0.1,0.001,16,0.026478279550190578,0.024112339462440333,2.0033882329153525,22,11.2
18,32,32,0.2,0.0005,8,0.026508818817799172,0.026130374912304435,2.158557401696413,79,32.3
18,128,64,0.1,0.001,32,0.026538317442800725,0.023433907142721557,1.9491635996575565,24,10.5
12,64,32,0.3,0.0005,8,0.02670698082681166,0.026103995633956028,2.156481665007243,29,11.3
24,32,64,0.3,0.001,16,0.026773707356256483,0.024968569813217014,2.0714851548696767,68,24.1
6,64,64,0.2,0.0005,16,0.02691821724093247,0.022181709323051784,1.8012017932913233,47,13.4
12,128,16,0.1,0.001,8,0.026933062170131503,0.023470323083092152,1.9088722219527092,44,17.3
24,64,32,0.1,0.001,8,0.026992621308123747,0.026418859302775908,2.1836208061826614,32,17.9
6,128,64,0.2,0.0005,8,0.027005295591697644,0.02242293402866591,1.8208725919185615,53,20.2
